Type	Frequency	bleu	chrf	macrof	microf	macrobleu	microbleu
failure	1	99.99329	0.999964	99.98495	99.99573	99.98439	99.99247	
fairground	1	99.99544	0.999965	99.98495	99.99573	99.98481	99.99217	
fail	1	99.99329	0.999973	99.98495	99.99573	99.98207	99.99168	
factors	1	99.99329	0.999964	99.98495	99.99573	99.98439	99.99183	
facility	1	99.99544	0.999964	99.98495	99.99573	99.98311	99.99300	
facebook	1	99.99329	0.999961	99.98495	99.99573	99.98153	99.99162	
facade	1	99.99329	0.999972	99.98495	99.99573	99.98374	99.99116	
fabricated	1	99.99329	0.999955	99.98495	99.99573	99.97868	99.99110	
eyewitnesses	1	99.99329	0.999949	99.98495	99.99573	99.98293	99.99185	
exudes	1	99.99329	0.999967	99.98495	99.99573	99.97927	99.99162	
eyebrows	1	99.99329	0.999961	99.98495	99.99573	99.98019	99.99186	
exuberantly	1	99.99544	0.999962	99.98495	99.99573	99.98432	99.99345	
extreme	1	99.99329	0.999969	99.98495	99.99573	99.98389	99.99230	
extradite	1	99.99329	0.999958	99.98495	99.99573	99.98011	99.99162	
extra	1	99.99329	0.999970	99.98495	99.99573	99.98246	99.99056	
extinguishing	1	99.99402	0.999949	99.98495	99.99573	99.98249	99.99171	
extraction	1	99.99402	0.999955	99.98495	99.99573	99.97875	99.99201	
extinguished	1	99.99544	0.999960	99.98495	99.99573	99.98462	99.99269	
extinguish	1	99.99329	0.999955	99.98495	99.99573	99.98433	99.99141	
external	1	99.99329	0.999961	99.98495	99.99573	99.98240	99.99154	
extension	1	99.99329	0.999958	99.98495	99.99573	99.98187	99.99185	
extend	1	99.99329	0.999967	99.98495	99.99573	99.98286	99.99244	
expulsion	1	99.99329	0.999958	99.98495	99.99573	99.98389	99.99110	
expression	1	99.99329	0.999955	99.98495	99.99573	99.98253	99.99136	
extends	1	99.99329	0.999969	99.98495	99.99573	99.97900	99.99157	
expresses	1	99.99329	0.999958	99.98495	99.99573	99.98221	99.99118	
exposed	1	99.99329	0.999964	99.98495	99.99573	99.98095	99.99225	
export	1	99.99329	0.999967	99.98495	99.99573	99.97899	99.99159	
explores	1	99.99329	0.999961	99.98495	99.99573	99.98115	99.99132	
explanatory	1	99.99544	0.999955	99.98495	99.99573	99.98385	99.99421	
explaining	1	99.99329	0.999955	99.98495	99.99573	99.98291	99.99156	
experiencing	1	99.99329	0.999949	99.98495	99.99573	99.97997	99.99175	
expensively	1	99.99329	0.999952	99.98495	99.99573	99.98159	99.99134	
experiences	1	99.99329	0.999952	99.98495	99.99573	99.98308	99.99152	
expensive	1	99.99329	0.999963	99.98495	99.99573	99.98355	99.99285	
expecting	1	99.99402	0.999958	99.98495	99.99573	99.98441	99.99269	
expansion	1	99.99544	0.999968	99.98495	99.99573	99.98313	99.99314	
exists	1	99.99329	0.999967	99.98495	99.99573	99.98174	99.99176	
exner	1	99.99329	0.999970	99.98495	99.99573	99.98118	99.99150	
existing	1	99.99329	0.999961	99.98495	99.99573	99.98066	99.99153	
existed	1	99.99329	0.999964	99.98495	99.99573	99.98310	99.99093	
existence	1	99.99544	0.999968	99.98495	99.99573	99.98460	99.99250	
exhibitors	1	99.99329	0.999955	99.98495	99.99573	99.97846	99.99153	
exhibited	1	99.99329	0.999958	99.98495	99.99573	99.98079	99.99196	
exhibit	1	99.99544	0.999974	99.98495	99.99573	99.98454	99.99263	
exhaust	1	99.99329	0.999969	99.98495	99.99573	99.97712	99.99134	
exclusive	1	99.99329	0.999963	99.98495	99.99573	99.98181	99.99138	
exciting	1	99.99402	0.999961	99.98495	99.99573	99.98454	99.99161	
excitedly	1	99.99329	0.999958	99.98495	99.99573	99.97969	99.99103	
exceptions	1	99.99329	0.999955	99.98495	99.99573	99.98362	99.99188	
excavators	1	99.99329	0.999955	99.98495	99.99573	99.98223	99.99164	
excavations	1	99.99329	0.999952	99.98495	99.99573	99.98420	99.99118	
examples	1	99.99751	0.999976	99.98495	99.99573	99.98495	99.99573	
exaggerated	1	99.99329	0.999952	99.98495	99.99573	99.98456	99.99175	
exact	1	99.99544	0.999973	99.98495	99.99573	99.98366	99.99324	
ewe	1	99.99544	0.999984	99.98495	99.99573	99.98187	99.99301	
evidence	1	99.99329	0.999961	99.98495	99.99573	99.98457	99.99167	
eventful	1	99.99544	0.999961	99.98495	99.99573	99.98284	99.99350	
everybody	1	99.99329	0.999958	99.98495	99.99573	99.97770	99.99106	
evans	1	99.99544	0.999980	99.98495	99.99573	99.98273	99.99251	
evacuations	1	99.99544	0.999962	99.98495	99.99573	99.98449	99.99319	
evan	1	99.99751	0.999988	99.98495	99.99573	99.98495	99.99573	
eurozone	1	99.99329	0.999966	99.98495	99.99573	99.98379	99.99118	
europa	1	99.99329	0.999967	99.98495	99.99573	99.98419	99.99270	
etc.	1	99.99329	0.999973	99.98495	99.99573	99.98205	99.99074	
estonia	1	99.99544	0.999974	99.98495	99.99573	99.98229	99.99243	
establish	1	99.99329	0.999958	99.98495	99.99573	99.98342	99.99152	
esser	1	99.99329	0.999970	99.98495	99.99573	99.98207	99.99124	
essentially	1	99.99751	0.999967	99.98495	99.99573	99.98495	99.99573	
essener	1	99.99329	0.999964	99.98495	99.99573	99.98405	99.99223	
essence	1	99.99544	0.999974	99.98495	99.99573	99.98475	99.99350	
espresso	1	99.99329	0.999961	99.98495	99.99573	99.98270	99.99183	
espirito	1	99.99402	0.999961	99.98495	99.99573	99.97838	99.99130	
espionage	1	99.99329	0.999958	99.98495	99.99573	99.98084	99.99210	
escort	1	99.99329	0.999967	99.98495	99.99573	99.98153	99.99236	
eschenau	1	99.99544	0.999971	99.98495	99.99573	99.98231	99.99231	
erupted	1	99.99329	0.999964	99.98495	99.99573	99.98387	99.99177	
errors	1	99.99329	0.999967	99.98495	99.99573	99.98163	99.99183	
eradicated	1	99.99329	0.999964	99.98495	99.99573	99.98367	99.99202	
era	1	99.99329	0.999976	99.98495	99.99573	99.98435	99.99102	
equipping	1	99.99329	0.999958	99.98495	99.99573	99.97742	99.99134	
equipped	1	99.99329	0.999961	99.98495	99.99573	99.98274	99.99245	
equally	1	99.99329	0.999964	99.98495	99.99573	99.98291	99.99144	
eqc	1	99.99329	0.999976	99.98495	99.99573	99.98432	99.99130	
equipment	1	99.99329	0.999958	99.98495	99.99573	99.97960	99.99161	
episode	1	99.99544	0.999964	99.98495	99.99573	99.98427	99.99346	
envisaged	1	99.99329	0.999958	99.98495	99.99573	99.98464	99.99208	
entry	1	99.99402	0.999970	99.98495	99.99573	99.98341	99.99161	
entirely	1	99.99329	0.999961	99.98495	99.99573	99.98193	99.99169	
enthusiasts	1	99.99544	0.999962	99.98495	99.99573	99.98085	99.99241	
enthusiastic	1	99.99544	0.999949	99.98495	99.99573	99.98284	99.99349	
enthrall	1	99.99329	0.999961	99.98495	99.99573	99.97877	99.99121	
enthusiasm	1	99.99329	0.999955	99.98495	99.99573	99.98346	99.99190	
entertainingly	1	99.99329	0.999943	99.98495	99.99573	99.98313	99.99169	
entertaining	1	99.99329	0.999949	99.98495	99.99573	99.97762	99.99107	
entertained	1	99.99329	0.999952	99.98495	99.99573	99.98473	99.99170	
entered	1	99.99329	0.999964	99.98495	99.99573	99.98205	99.99117	
ensured	1	99.99402	0.999967	99.98495	99.99573	99.98220	99.99166	
ensure	1	99.99329	0.999967	99.98495	99.99573	99.98345	99.99209	
enormously	1	99.99329	0.999955	99.98495	99.99573	99.98143	99.99196	
enjoy	1	99.99329	0.999970	99.98495	99.99573	99.98349	99.99191	
england	1	99.99329	0.999964	99.98495	99.99573	99.98478	99.99225	
english	1	99.99329	0.999964	99.98495	99.99573	99.98403	99.99184	
engelke	1	99.99402	0.999964	99.98495	99.99573	99.97628	99.99187	
engineer	1	99.99329	0.999961	99.98495	99.99573	99.97974	99.99149	
engage	1	99.99329	0.999967	99.98495	99.99573	99.98068	99.99178	
engaged	1	99.99329	0.999964	99.98495	99.99573	99.98314	99.99238	
enforce	1	99.99329	0.999964	99.98495	99.99573	99.98320	99.99219	
endures	1	99.99544	0.999964	99.98495	99.99573	99.98322	99.99380	
enes	1	99.99329	0.999973	99.98495	99.99573	99.97859	99.99171	
ending	1	99.99544	0.999977	99.98495	99.99573	99.98380	99.99265	
encryption	1	99.99402	0.999955	99.98495	99.99573	99.98179	99.99162	
endanger	1	99.99329	0.999961	99.98495	99.99573	99.97674	99.99090	
encouraged	1	99.99329	0.999960	99.98495	99.99573	99.98393	99.99162	
encore	1	99.99329	0.999967	99.98495	99.99573	99.98387	99.99160	
en	1	99.99329	0.999979	99.98495	99.99573	99.97976	99.99114	
emsland	1	99.99329	0.999964	99.98495	99.99573	99.98163	99.99197	
emsdetten	1	99.99329	0.999963	99.98495	99.99573	99.98108	99.99153	
emre	1	99.99751	0.999988	99.98495	99.99573	99.98495	99.99573	
emptying	1	99.99329	0.999961	99.98495	99.99573	99.98179	99.99168	
employment	1	99.99329	0.999955	99.98495	99.99573	99.98014	99.99139	
employees	1	99.99329	0.999958	99.98495	99.99573	99.98462	99.99230	
employee	1	99.99402	0.999961	99.98495	99.99573	99.98256	99.99173	
emphasizing	1	99.99329	0.999952	99.98495	99.99573	99.98429	99.99248	
empathy	1	99.99329	0.999964	99.98495	99.99573	99.98356	99.99253	
emphasis	1	99.99329	0.999961	99.98495	99.99573	99.98403	99.99237	
emphasize	1	99.99329	0.999958	99.98495	99.99573	99.98308	99.99256	
emotion	1	99.99329	0.999964	99.98495	99.99573	99.98426	99.99097	
emlichheim	1	99.99329	0.999955	99.98495	99.99573	99.98472	99.99107	
emissions	1	99.99329	0.999958	99.98495	99.99573	99.98158	99.99189	
emergeny	1	99.99329	0.999961	99.98495	99.99573	99.98161	99.99138	
embolo	1	99.99329	0.999967	99.98495	99.99573	99.98267	99.99184	
emerged	1	99.99329	0.999964	99.98495	99.99573	99.98395	99.99159	
embers	1	99.99329	0.999967	99.98495	99.99573	99.98237	99.99115	
embarassing	1	99.99402	0.999957	99.98495	99.99573	99.98301	99.99192	
emancipated	1	99.99329	0.999952	99.98495	99.99573	99.98366	99.99195	
elvedi	1	99.99329	0.999967	99.98495	99.99573	99.97806	99.99144	
elude	1	99.99329	0.999970	99.98495	99.99573	99.98362	99.99246	
elsa	1	99.99544	0.999973	99.98495	99.99573	99.98335	99.99360	
elke	1	99.99329	0.999973	99.98495	99.99573	99.97945	99.99183	
elite	1	99.99329	0.999975	99.98495	99.99573	99.98430	99.99120	
eleventh	1	99.99329	0.999961	99.98495	99.99573	99.98457	99.99109	
elementary	1	99.99329	0.999955	99.98495	99.99573	99.97845	99.99183	
electromobility	1	99.99544	0.999950	99.98495	99.99573	99.98453	99.99312	
elected	1	99.99329	0.999964	99.98495	99.99573	99.98463	99.99198	
elegant	1	99.99329	0.999964	99.98495	99.99573	99.98309	99.99153	
elect	1	99.99329	0.999970	99.98495	99.99573	99.97788	99.99137	
elderly	1	99.99751	0.999979	99.98495	99.99573	99.98495	99.99573	
ein	1	99.99329	0.999976	99.98495	99.99573	99.98177	99.99174	
eilmann	1	99.99329	0.999964	99.98495	99.99573	99.98014	99.99141	
eigel	1	99.99544	0.999982	99.98495	99.99573	99.98137	99.99247	
eggnog	1	99.99329	0.999967	99.98495	99.99573	99.98425	99.99195	
eggenhaus	1	99.99329	0.999958	99.98495	99.99573	99.98286	99.99153	
effortlessly	1	99.99544	0.999959	99.98495	99.99573	99.98486	99.99248	
efficient	1	99.99544	0.999968	99.98495	99.99573	99.98474	99.99327	
efe	1	99.99329	0.999976	99.98495	99.99573	99.98175	99.99219	
editors	1	99.99329	0.999964	99.98495	99.99573	99.97877	99.99186	
editorial	1	99.99329	0.999958	99.98495	99.99573	99.97981	99.99080	
edition	1	99.99329	0.999964	99.98495	99.99573	99.98471	99.99148	
edge	1	99.99329	0.999978	99.98495	99.99573	99.98473	99.99113	
economist	1	99.99329	0.999963	99.98495	99.99573	99.97349	99.99090	
economy	1	99.99329	0.999964	99.98495	99.99573	99.97867	99.99124	
economics	1	99.99329	0.999958	99.98495	99.99573	99.97542	99.99058	
ecologically	1	99.99329	0.999949	99.98495	99.99573	99.98136	99.99170	
echo	1	99.99402	0.999973	99.98495	99.99573	99.98443	99.99164	
eased	1	99.99329	0.999970	99.98495	99.99573	99.97815	99.99138	
ecclesiastical	1	99.99329	0.999943	99.98495	99.99573	99.98309	99.99126	
ease	1	99.99329	0.999973	99.98495	99.99573	99.97800	99.99154	
earth	1	99.99544	0.999980	99.98495	99.99573	99.98484	99.99247	
ears	1	99.99329	0.999973	99.98495	99.99573	99.97989	99.99161	
earnings	1	99.99329	0.999966	99.98495	99.99573	99.98249	99.99159	
earmarked	1	99.99329	0.999958	99.98495	99.99573	99.97823	99.99169	
earning	1	99.99329	0.999964	99.98495	99.99573	99.98385	99.99265	
ear	1	99.99329	0.999976	99.98495	99.99573	99.98431	99.99221	
eagerly	1	99.99329	0.999965	99.98495	99.99573	99.97937	99.99094	
dynasty	1	99.99329	0.999964	99.98495	99.99573	99.97941	99.99154	
dynamic	1	99.99402	0.999964	99.98495	99.99573	99.98437	99.99143	
dylan	1	99.99329	0.999970	99.98495	99.99573	99.97802	99.99151	
dying	1	99.99402	0.999970	99.98495	99.99573	99.98461	99.99190	
dybala	1	99.99329	0.999967	99.98495	99.99573	99.98234	99.99181	
düsseldorf	1	99.99329	0.999955	99.98495	99.99573	99.98314	99.99169	
duties	1	99.99329	0.999967	99.98495	99.99573	99.98391	99.99159	
durstewitz	1	99.99329	0.999955	99.98495	99.99573	99.97759	99.99156	
duplicate	1	99.99329	0.999963	99.98495	99.99573	99.98369	99.99211	
duo	1	99.99329	0.999976	99.98495	99.99573	99.98275	99.99109	
duisburg	1	99.99329	0.999961	99.98495	99.99573	99.98042	99.99151	
dunja	1	99.99329	0.999970	99.98495	99.99573	99.97534	99.99176	
dug	1	99.99402	0.999976	99.98495	99.99573	99.97945	99.99145	
dudenhöffer	1	99.99544	0.999962	99.98495	99.99573	99.97986	99.99232	
dual	1	99.99329	0.999973	99.98495	99.99573	99.97819	99.99177	
drunk	1	99.99329	0.999970	99.98495	99.99573	99.98207	99.99136	
dr.-stammberger	1	99.99329	0.999940	99.98495	99.99573	99.98241	99.99053	
drummer	1	99.99329	0.999964	99.98495	99.99573	99.97856	99.99171	
drops	1	99.99329	0.999970	99.98495	99.99573	99.97878	99.99126	
drop	1	99.99329	0.999973	99.98495	99.99573	99.98351	99.99168	
drones	1	99.99544	0.999978	99.98495	99.99573	99.98384	99.99265	
dries	1	99.99329	0.999970	99.98495	99.99573	99.98174	99.99154	
dribbled	1	99.99329	0.999961	99.98495	99.99573	99.97970	99.99182	
drewes	1	99.99329	0.999967	99.98495	99.99573	99.98478	99.99179	
dressed	1	99.99329	0.999964	99.98495	99.99573	99.98207	99.99148	
drees	1	99.99329	0.999975	99.98495	99.99573	99.98011	99.99147	
dreckmann	1	99.99329	0.999958	99.98495	99.99573	99.97649	99.99152	
draught	1	99.99402	0.999964	99.98495	99.99573	99.98217	99.99193	
drawn	1	99.99329	0.999970	99.98495	99.99573	99.98375	99.99167	
dreams	1	99.99329	0.999967	99.98495	99.99573	99.98448	99.99197	
drained	1	99.99329	0.999964	99.98495	99.99573	99.98225	99.99169	
dramatic	1	99.99329	0.999961	99.98495	99.99573	99.98397	99.99166	
draft	1	99.99329	0.999975	99.98495	99.99573	99.97665	99.99179	
dozens	1	99.99751	0.999982	99.98495	99.99573	99.98495	99.99573	
downtown	1	99.99329	0.999961	99.98495	99.99573	99.98428	99.99097	
downtime	1	99.99544	0.999971	99.98495	99.99573	99.98165	99.99336	
downswing	1	99.99329	0.999958	99.98495	99.99573	99.97721	99.99157	
downsizing	1	99.99329	0.999955	99.98495	99.99573	99.98391	99.99186	
doubts	1	99.99329	0.999967	99.98495	99.99573	99.97935	99.99183	
dorados	1	99.99329	0.999969	99.98495	99.99573	99.98105	99.99191	
doorstep	1	99.99329	0.999961	99.98495	99.99573	99.98362	99.99064	
doormen	1	99.99329	0.999964	99.98495	99.99573	99.97502	99.99164	
donors	1	99.99751	0.999982	99.98495	99.99573	99.98495	99.99573	
donating	1	99.99329	0.999961	99.98495	99.99573	99.98317	99.99107	
donate	1	99.99329	0.999967	99.98495	99.99573	99.98333	99.99234	
domstadt	1	99.99329	0.999961	99.98495	99.99573	99.98457	99.99170	
dominik	1	99.99329	0.999964	99.98495	99.99573	99.97900	99.99142	
dogan	1	99.99402	0.999970	99.98495	99.99573	99.98124	99.99151	
dominating	1	99.99329	0.999955	99.98495	99.99573	99.98408	99.99163	
documented	1	99.99329	0.999955	99.98495	99.99573	99.98312	99.99164	
dominant	1	99.99329	0.999961	99.98495	99.99573	99.98466	99.99231	
dodge	1	99.99329	0.999970	99.98495	99.99573	99.98406	99.99240	
doctors	1	99.99329	0.999964	99.98495	99.99573	99.98011	99.99138	
dobson	1	99.99544	0.999977	99.98495	99.99573	99.97942	99.99229	
divorce	1	99.99329	0.999964	99.98495	99.99573	99.98351	99.99184	
divinyls	1	99.99329	0.999961	99.98495	99.99573	99.98244	99.99234	
diversely	1	99.99329	0.999958	99.98495	99.99573	99.97661	99.99098	
diversified	1	99.99329	0.999952	99.98495	99.99573	99.98413	99.99189	
districts	1	99.99544	0.999968	99.98495	99.99573	99.98480	99.99304	
disturbances	1	99.99329	0.999954	99.98495	99.99573	99.98367	99.99172	
distracted	1	99.99329	0.999955	99.98495	99.99573	99.98475	99.99166	
dissolved	1	99.99402	0.999958	99.98495	99.99573	99.98337	99.99161	
dissatisfied	1	99.99329	0.999949	99.98495	99.99573	99.98466	99.99040	
disruption	1	99.99329	0.999955	99.98495	99.99573	99.98475	99.99140	
disposed	1	99.99329	0.999961	99.98495	99.99573	99.98299	99.99159	
dispersing	1	99.99329	0.999955	99.98495	99.99573	99.98081	99.99156	
disneyland	1	99.99329	0.999955	99.98495	99.99573	99.98343	99.99173	
disgraces	1	99.99329	0.999958	99.98495	99.99573	99.98187	99.99143	
disembarked	1	99.99402	0.999952	99.98495	99.99573	99.98130	99.99121	
disguise	1	99.99402	0.999967	99.98495	99.99573	99.98380	99.99233	
discusses	1	99.99329	0.999958	99.98495	99.99573	99.98199	99.99133	
diseases	1	99.99402	0.999961	99.98495	99.99573	99.98217	99.99145	
discussed	1	99.99329	0.999963	99.98495	99.99573	99.98147	99.99148	
discrimination	1	99.99329	0.999943	99.98495	99.99573	99.98401	99.99105	
discovery	1	99.99329	0.999958	99.98495	99.99573	99.98266	99.99083	
discover	1	99.99329	0.999961	99.98495	99.99573	99.98188	99.99166	
discounted	1	99.99329	0.999955	99.98495	99.99573	99.98228	99.99230	
discount	1	99.99751	0.999976	99.98495	99.99573	99.98495	99.99573	
disciplines	1	99.99544	0.999962	99.98495	99.99573	99.98477	99.99214	
disarm	1	99.99329	0.999967	99.98495	99.99573	99.98355	99.99183	
disappeared	1	99.99402	0.999952	99.98495	99.99573	99.98259	99.99223	
disappearance	1	99.99329	0.999951	99.98495	99.99573	99.98486	99.99103	
dirk	1	99.99544	0.999973	99.98495	99.99573	99.97525	99.99256	
directorate	1	99.99329	0.999952	99.98495	99.99573	99.98181	99.99193	
directions	1	99.99544	0.999965	99.98495	99.99573	99.98465	99.99334	
dippold	1	99.99329	0.999964	99.98495	99.99573	99.98058	99.99127	
diplomat	1	99.99402	0.999961	99.98495	99.99573	99.98402	99.99126	
dimensional	1	99.99329	0.999952	99.98495	99.99573	99.98262	99.99170	
dim	1	99.99329	0.999976	99.98495	99.99573	99.98369	99.99172	
digitisation	1	99.99544	0.999959	99.98495	99.99573	99.98469	99.99266	
digging	1	99.99329	0.999976	99.98495	99.99573	99.98348	99.99174	
difficulty	1	99.99329	0.999955	99.98495	99.99573	99.98477	99.99173	
differed	1	99.99329	0.999961	99.98495	99.99573	99.98387	99.99178	
diets	1	99.99329	0.999970	99.98495	99.99573	99.98076	99.99183	
diet	1	99.99329	0.999973	99.98495	99.99573	99.97981	99.99155	
diesels	1	99.99544	0.999974	99.98495	99.99573	99.98153	99.99250	
dieselgate	1	99.99329	0.999955	99.98495	99.99573	99.98226	99.99150	
didi	1	99.99544	0.999973	99.98495	99.99573	99.98112	99.99347	
didavi	1	99.99544	0.999977	99.98495	99.99573	99.98343	99.99234	
dictatorship	1	99.99329	0.999949	99.98495	99.99573	99.97928	99.99155	
dictated	1	99.99329	0.999961	99.98495	99.99573	99.98088	99.99193	
diameter	1	99.99329	0.999961	99.98495	99.99573	99.98373	99.99145	
dice	1	99.99329	0.999978	99.98495	99.99573	99.98410	99.99119	
diallo	1	99.99329	0.999967	99.98495	99.99573	99.98290	99.99233	
dialed	1	99.99329	0.999967	99.98495	99.99573	99.98187	99.99187	
diagnosing	1	99.99544	0.999965	99.98495	99.99573	99.98471	99.99328	
diagnosed	1	99.99402	0.999958	99.98495	99.99573	99.98358	99.99204	
devote	1	99.99329	0.999967	99.98495	99.99573	99.98289	99.99186	
di	1	99.99329	0.999979	99.98495	99.99573	99.97063	99.99141	
devils	1	99.99329	0.999967	99.98495	99.99573	99.98363	99.99175	
deventer	1	99.99329	0.999961	99.98495	99.99573	99.98398	99.99173	
developments	1	99.99329	0.999949	99.98495	99.99573	99.98456	99.99109	
developing	1	99.99329	0.999955	99.98495	99.99573	99.98430	99.99280	
developed	1	99.99329	0.999958	99.98495	99.99573	99.98401	99.99103	
deutschland	1	99.99329	0.999952	99.98495	99.99573	99.97730	99.99162	
dethroned	1	99.99329	0.999967	99.98495	99.99573	99.98193	99.99168	
determined	1	99.99329	0.999955	99.98495	99.99573	99.98005	99.99183	
determine	1	99.99329	0.999958	99.98495	99.99573	99.98364	99.99192	
determination	1	99.99329	0.999946	99.98495	99.99573	99.98206	99.99116	
detention	1	99.99329	0.999958	99.98495	99.99573	99.98171	99.99117	
detection	1	99.99329	0.999958	99.98495	99.99573	99.98332	99.99162	
detained	1	99.99544	0.999961	99.98495	99.99573	99.97880	99.99259	
detached	1	99.99329	0.999961	99.98495	99.99573	99.98260	99.99165	
destruction	1	99.99329	0.999952	99.98495	99.99573	99.97853	99.99098	
destroy	1	99.99402	0.999970	99.98495	99.99573	99.98356	99.99072	
destinies	1	99.99544	0.999968	99.98495	99.99573	99.98425	99.99271	
designs	1	99.99329	0.999964	99.98495	99.99573	99.97775	99.99162	
design	1	99.99329	0.999967	99.98495	99.99573	99.98006	99.99190	
designing	1	99.99402	0.999958	99.98495	99.99573	99.97782	99.99097	
described	1	99.99329	0.999958	99.98495	99.99573	99.98300	99.99114	
describe	1	99.99329	0.999961	99.98495	99.99573	99.98403	99.99232	
descending	1	99.99329	0.999955	99.98495	99.99573	99.98395	99.99303	
descendant	1	99.99329	0.999955	99.98495	99.99573	99.98402	99.99125	
derailments	1	99.99329	0.999952	99.98495	99.99573	99.97994	99.99191	
deputy	1	99.99329	0.999967	99.98495	99.99573	99.98086	99.99105	
depriving	1	99.99329	0.999958	99.98495	99.99573	99.98359	99.99144	
depotwas	1	99.99402	0.999961	99.98495	99.99573	99.98408	99.99230	
deployed	1	99.99329	0.999961	99.98495	99.99573	99.98274	99.99156	
depending	1	99.99329	0.999958	99.98495	99.99573	99.98348	99.99301	
depend	1	99.99329	0.999967	99.98495	99.99573	99.98426	99.99241	
departure	1	99.99329	0.999963	99.98495	99.99573	99.98016	99.99190	
departments	1	99.99329	0.999952	99.98495	99.99573	99.98378	99.99207	
denuclearization	1	99.99329	0.999937	99.98495	99.99573	99.98453	99.99141	
dense	1	99.99329	0.999975	99.98495	99.99573	99.98129	99.99101	
denis	1	99.99329	0.999970	99.98495	99.99573	99.97676	99.99142	
deniz	1	99.99329	0.999970	99.98495	99.99573	99.97679	99.99165	
demurely	1	99.99544	0.999971	99.98495	99.99573	99.98369	99.99315	
demonstrator	1	99.99329	0.999949	99.98495	99.99573	99.97638	99.99153	
demonstrates	1	99.99329	0.999949	99.98495	99.99573	99.98107	99.99169	
demolished	1	99.99329	0.999955	99.98495	99.99573	99.97984	99.99189	
demolish	1	99.99329	0.999961	99.98495	99.99573	99.98299	99.99201	
democracy	1	99.99329	0.999958	99.98495	99.99573	99.98240	99.99169	
demise	1	99.99329	0.999967	99.98495	99.99573	99.98344	99.99231	
delivers	1	99.99329	0.999961	99.98495	99.99573	99.97800	99.99146	
demands	1	99.99544	0.999969	99.98495	99.99573	99.98220	99.99283	
delicatessen	1	99.99402	0.999949	99.98495	99.99573	99.98411	99.99160	
delicacies	1	99.99329	0.999955	99.98495	99.99573	99.98309	99.99183	
delaying	1	99.99329	0.999961	99.98495	99.99573	99.98430	99.99182	
del	1	99.99329	0.999976	99.98495	99.99573	99.97943	99.99172	
defuse	1	99.99329	0.999967	99.98495	99.99573	99.98231	99.99214	
deflected	1	99.99329	0.999958	99.98495	99.99573	99.98323	99.99149	
defenestration	1	99.99329	0.999943	99.98495	99.99573	99.98303	99.99064	
defenders	1	99.99329	0.999958	99.98495	99.99573	99.98450	99.99036	
defeats	1	99.99402	0.999964	99.98495	99.99573	99.97287	99.99113	
defeating	1	99.99329	0.999958	99.98495	99.99573	99.98296	99.99118	
dedicate	1	99.99329	0.999961	99.98495	99.99573	99.98156	99.99196	
dedicated	1	99.99402	0.999958	99.98495	99.99573	99.98098	99.99165	
deepen	1	99.99329	0.999967	99.98495	99.99573	99.98448	99.99158	
deeper	1	99.99329	0.999967	99.98495	99.99573	99.97925	99.99166	
decrypto.info	1	99.99329	0.999946	99.98495	99.99573	99.98244	99.99127	
decorations	1	99.99329	0.999952	99.98495	99.99573	99.97888	99.99145	
decline	1	99.99329	0.999964	99.98495	99.99573	99.97762	99.99135	
decipher	1	99.99329	0.999961	99.98495	99.99573	99.98460	99.99188	
decimated	1	99.99329	0.999958	99.98495	99.99573	99.98320	99.99182	
deciding	1	99.99329	0.999961	99.98495	99.99573	99.98433	99.99152	
decibels	1	99.99329	0.999961	99.98495	99.99573	99.98009	99.99169	
deceased	1	99.99329	0.999961	99.98495	99.99573	99.98429	99.99072	
debris	1	99.99329	0.999967	99.98495	99.99573	99.97755	99.99075	
debates	1	99.99329	0.999964	99.98495	99.99573	99.98120	99.99074	
dearly	1	99.99544	0.999977	99.98495	99.99573	99.98386	99.99261	
deathbed	1	99.99329	0.999961	99.98495	99.99573	99.98359	99.99180	
deals	1	99.99544	0.999976	99.98495	99.99573	99.98163	99.99337	
dealt	1	99.99402	0.999970	99.98495	99.99573	99.98414	99.99181	
dealers	1	99.99544	0.999974	99.98495	99.99573	99.98373	99.99329	
deal	1	99.99329	0.999973	99.98495	99.99573	99.98413	99.99173	
dazzling	1	99.99329	0.999961	99.98495	99.99573	99.97971	99.99192	
daubed	1	99.99544	0.999977	99.98495	99.99573	99.98300	99.99254	
dates	1	99.99751	0.999985	99.98495	99.99573	99.98495	99.99573	
daycare	1	99.99329	0.999964	99.98495	99.99573	99.98347	99.99168	
deadline	1	99.99329	0.999961	99.98495	99.99573	99.98451	99.99147	
daria	1	99.99329	0.999970	99.98495	99.99573	99.98011	99.99184	
dangers	1	99.99329	0.999964	99.98495	99.99573	99.98097	99.99077	
dancing	1	99.99329	0.999964	99.98495	99.99573	99.98214	99.99151	
dancer	1	99.99329	0.999967	99.98495	99.99573	99.97815	99.99116	
danced	1	99.99329	0.999967	99.98495	99.99573	99.98456	99.99190	
damned	1	99.99329	0.999967	99.98495	99.99573	99.98459	99.99261	
damian	1	99.99329	0.999967	99.98495	99.99573	99.97891	99.99182	
damaging	1	99.99329	0.999961	99.98495	99.99573	99.97912	99.99114	
damages	1	99.99544	0.999967	99.98495	99.99573	99.98085	99.99299	
dalal	1	99.99329	0.999970	99.98495	99.99573	99.97749	99.99171	
da	1	99.99329	0.999984	99.98495	99.99573	99.97504	99.99173	
cuxhaveners	1	99.99329	0.999952	99.98495	99.99573	99.97991	99.99171	
