Type	Frequency	CHRF1	CHRF3
harm	1	0.999973	0.999963	
harit	1	0.999970	0.999958	
harasses	1	0.999961	0.999942	
hardliners	1	0.999955	0.999931	
harassed	1	0.999961	0.999942	
hanno	1	0.999970	0.999958	
happily	1	0.999964	0.999947	
harald	1	0.999972	0.999957	
hanover	1	0.999964	0.999947	
hanns	1	0.999975	0.999963	
handymen	1	0.999961	0.999942	
handling	1	0.999961	0.999942	
handle	1	0.999967	0.999952	
hamelner	1	0.999961	0.999942	
handed	1	0.999977	0.999963	
hallways	1	0.999961	0.999942	
hamm	1	0.999973	0.999963	
halt	1	0.999973	0.999963	
halls	1	0.999980	0.999968	
halfway	1	0.999979	0.999962	
hajek	1	0.999970	0.999958	
haired	1	0.999967	0.999952	
hailing	1	0.999964	0.999947	
hagemeyer	1	0.999958	0.999936	
haerendel	1	0.999958	0.999936	
habitats	1	0.999961	0.999942	
hacking	1	0.999967	0.999950	
hadrika	1	0.999964	0.999947	
habitat	1	0.999974	0.999957	
gymnasium	1	0.999958	0.999936	
gwa	1	0.999976	0.999969	
gw	1	0.999979	0.999974	
guy	1	0.999976	0.999969	
gunshot	1	0.999964	0.999947	
gust	1	0.999973	0.999963	
gutenberg	1	0.999958	0.999936	
gummersbach	1	0.999952	0.999925	
gunners	1	0.999964	0.999947	
güney	1	0.999970	0.999958	
guide	1	0.999970	0.999958	
guessing	1	0.999961	0.999942	
guardrail	1	0.999958	0.999936	
guajardo	1	0.999966	0.999947	
guardiola	1	0.999958	0.999936	
gschwendner	1	0.999952	0.999925	
grugahalle	1	0.999955	0.999931	
grzegorek	1	0.999967	0.999945	
grudge	1	0.999967	0.999952	
grossglockner	1	0.999946	0.999915	
groundbreaking	1	0.999943	0.999909	
gronemann	1	0.999958	0.999936	
grindl	1	0.999967	0.999952	
greven	1	0.999967	0.999952	
greeks	1	0.999967	0.999952	
grassland	1	0.999961	0.999939	
greats	1	0.999967	0.999952	
grasp	1	0.999970	0.999958	
grape	1	0.999975	0.999963	
grant	1	0.999970	0.999958	
granit	1	0.999967	0.999952	
grandfather	1	0.999952	0.999925	
graffitied	1	0.999955	0.999931	
gradually	1	0.999958	0.999936	
gp	1	0.999979	0.999974	
governments	1	0.999952	0.999925	
göttingen	1	0.999958	0.999936	
gotten	1	0.999967	0.999952	
görges	1	0.999967	0.999952	
goods	1	0.999970	0.999958	
gooders	1	0.999964	0.999947	
golo	1	0.999973	0.999963	
golfers	1	0.999964	0.999947	
golden	1	0.999967	0.999952	
goalgetter	1	0.999955	0.999931	
goalless	1	0.999961	0.999942	
godmother	1	0.999958	0.999936	
golf	1	0.999973	0.999963	
gökay	1	0.999970	0.999958	
gmünder	1	0.999964	0.999947	
gmail.com	1	0.999958	0.999936	
glorifying	1	0.999955	0.999931	
gmbh	1	0.999973	0.999963	
glücksbaum	1	0.999955	0.999931	
globo	1	0.999975	0.999963	
globe	1	0.999981	0.999969	
glances	1	0.999974	0.999957	
glare	1	0.999970	0.999958	
gladbachers	1	0.999955	0.999928	
glasses	1	0.999964	0.999947	
glad	1	0.999973	0.999963	
gisbert	1	0.999964	0.999947	
getter	1	0.999967	0.999952	
gig	1	0.999976	0.999969	
giedraitis	1	0.999960	0.999936	
girls	1	0.999980	0.999968	
giessen	1	0.999967	0.999950	
gingerbread	1	0.999967	0.999941	
gestures	1	0.999961	0.999942	
gesellschaft	1	0.999949	0.999920	
germania	1	0.999967	0.999948	
germain	1	0.999964	0.999947	
gertrud	1	0.999964	0.999947	
gerd	1	0.999978	0.999968	
gerlos	1	0.999967	0.999952	
geodynamics	1	0.999952	0.999925	
george	1	0.999970	0.999955	
ger	1	0.999976	0.999969	
gents	1	0.999970	0.999958	
genuss	1	0.999967	0.999952	
genre	1	0.999970	0.999958	
genius	1	0.999967	0.999952	
generously	1	0.999955	0.999931	
generations	1	0.999952	0.999925	
geising	1	0.999964	0.999947	
gea	1	0.999986	0.999979	
geared	1	0.999967	0.999952	
geilste	1	0.999964	0.999947	
gather	1	0.999967	0.999952	
gay	1	0.999976	0.999969	
gasoline	1	0.999971	0.999952	
gasolin	1	0.999964	0.999947	
gases	1	0.999970	0.999958	
gas	1	0.999976	0.999969	
gartenstraße	1	0.999954	0.999925	
garages	1	0.999974	0.999957	
gartenbau	1	0.999958	0.999936	
gaped	1	0.999970	0.999958	
galindo	1	0.999974	0.999957	
gaitling	1	0.999961	0.999942	
gala	1	0.999978	0.999968	
gains	1	0.999970	0.999958	
gained	1	0.999967	0.999952	
gabriel	1	0.999969	0.999952	
fv	1	0.999979	0.999974	
g	1	0.999982	0.999979	
functionality	1	0.999946	0.999915	
g.	1	0.999994	0.999989	
funnel	1	0.999977	0.999963	
fur	1	0.999976	0.999969	
fulfill	1	0.999964	0.999947	
fuhsy	1	0.999975	0.999963	
fsv	1	0.999976	0.999969	
froze	1	0.999970	0.999958	
frontman	1	0.999961	0.999942	
fright	1	0.999967	0.999952	
frontline	1	0.999969	0.999947	
frogs	1	0.999970	0.999958	
fritzler	1	0.999970	0.999951	
friend	1	0.999967	0.999952	
friedhelm	1	0.999958	0.999936	
friederike	1	0.999955	0.999931	
frido	1	0.999970	0.999958	
freshen	1	0.999964	0.999947	
frey	1	0.999982	0.999972	
frerich	1	0.999964	0.999947	
frenchwoman	1	0.999952	0.999925	
frederic	1	0.999961	0.999942	
frequented	1	0.999965	0.999941	
freeland	1	0.999961	0.999942	
frankenderby	1	0.999949	0.999920	
fraport	1	0.999964	0.999947	
franconia	1	0.999958	0.999936	
framed	1	0.999967	0.999952	
framing	1	0.999974	0.999957	
fpÖ	1	0.999976	0.999969	
foyer	1	0.999970	0.999958	
fountain	1	0.999961	0.999942	
founding	1	0.999961	0.999942	
fouled	1	0.999970	0.999955	
forwards	1	0.999961	0.999942	
forward	1	0.999964	0.999947	
forth	1	0.999980	0.999968	
formerly	1	0.999961	0.999942	
formal	1	0.999967	0.999952	
forgotten	1	0.999958	0.999936	
forfeits	1	0.999961	0.999942	
forests	1	0.999964	0.999947	
forfeited	1	0.999958	0.999936	
forested	1	0.999961	0.999942	
foreseeable	1	0.999952	0.999925	
foreigners	1	0.999965	0.999941	
forecourt	1	0.999968	0.999946	
forecasts	1	0.999970	0.999948	
forecast	1	0.999961	0.999942	
ford	1	0.999973	0.999963	
footballer	1	0.999955	0.999931	
forced	1	0.999967	0.999952	
fondly	1	0.999967	0.999952	
fond	1	0.999973	0.999963	
followers	1	0.999958	0.999936	
followed	1	0.999961	0.999942	
foil	1	0.999983	0.999973	
flying	1	0.999967	0.999952	
flyers	1	0.999977	0.999963	
flows	1	0.999970	0.999958	
fly	1	0.999976	0.999969	
fluchtgasse	1	0.999957	0.999930	
flowed	1	0.999976	0.999961	
florent	1	0.999964	0.999947	
floral	1	0.999967	0.999952	
flow	1	0.999973	0.999963	
flirting	1	0.999961	0.999942	
flew	1	0.999973	0.999963	
flessa	1	0.999967	0.999952	
flee	1	0.999973	0.999963	
flats	1	0.999970	0.999958	
flashing	1	0.999961	0.999942	
flamme	1	0.999967	0.999952	
flame	1	0.999980	0.999968	
flair	1	0.999970	0.999958	
fixture	1	0.999964	0.999947	
flagship	1	0.999961	0.999942	
fixed	1	0.999970	0.999958	
fit	1	0.999976	0.999969	
fix	1	0.999976	0.999969	
fist	1	0.999973	0.999963	
fits	1	0.999973	0.999963	
fitting	1	0.999974	0.999957	
fishing	1	0.999964	0.999947	
fish	1	0.999973	0.999963	
fischtown	1	0.999958	0.999936	
fiscal	1	0.999967	0.999952	
firework	1	0.999961	0.999942	
firewood	1	0.999961	0.999942	
fireproof	1	0.999958	0.999936	
firefighters	1	0.999949	0.999920	
firefighter	1	0.999962	0.999936	
firefighting	1	0.999949	0.999920	
fired	1	0.999975	0.999963	
finland	1	0.999974	0.999957	
findings	1	0.999961	0.999942	
finger	1	0.999967	0.999952	
finely	1	0.999967	0.999952	
financially	1	0.999962	0.999936	
finding	1	0.999964	0.999947	
financial	1	0.999958	0.999936	
financed	1	0.999961	0.999942	
finals	1	0.999967	0.999952	
finalist	1	0.999961	0.999942	
filthy	1	0.999967	0.999952	
filip	1	0.999970	0.999958	
films	1	0.999970	0.999958	
filed	1	0.999970	0.999958	
figuratively	1	0.999949	0.999920	
figure	1	0.999977	0.999963	
figures	1	0.999964	0.999947	
fighting	1	0.999966	0.999947	
fields	1	0.999977	0.999963	
fibre	1	0.999975	0.999963	
fiber	1	0.999970	0.999958	
fethullah	1	0.999958	0.999936	
fewer	1	0.999970	0.999958	
feuerwehr	1	0.999958	0.999936	
ferdinand	1	0.999958	0.999936	
fencing	1	0.999964	0.999947	
festively	1	0.999963	0.999941	
festive	1	0.999974	0.999957	
fenster	1	0.999979	0.999963	
felipe	1	0.999967	0.999952	
fellow	1	0.999967	0.999952	
felbertauern	1	0.999949	0.999920	
feet	1	0.999983	0.999973	
feeling	1	0.999964	0.999947	
feelers	1	0.999964	0.999947	
federweisser	1	0.999949	0.999920	
fee	1	0.999976	0.999969	
federally	1	0.999958	0.999936	
features	1	0.999961	0.999942	
feature	1	0.999964	0.999947	
fears	1	0.999970	0.999958	
father	1	0.999967	0.999952	
fcg	1	0.999976	0.999969	
fate	1	0.999978	0.999968	
fatalities	1	0.999955	0.999931	
fast	1	0.999973	0.999963	
fascination	1	0.999952	0.999925	
faster	1	0.999977	0.999963	
farther	1	0.999964	0.999947	
farrelly	1	0.999961	0.999942	
farm	1	0.999973	0.999963	
fantasy	1	0.999964	0.999947	
families	1	0.999966	0.999947	
familiar	1	0.999961	0.999942	
fairytale	1	0.999958	0.999936	
fairy	1	0.999970	0.999958	
familial	1	0.999961	0.999942	
fairly	1	0.999968	0.999953	
fairground	1	0.999965	0.999941	
failure	1	0.999964	0.999947	
fail	1	0.999973	0.999963	
factors	1	0.999964	0.999947	
facility	1	0.999964	0.999945	
facebook	1	0.999961	0.999942	
eyewitnesses	1	0.999949	0.999920	
facade	1	0.999972	0.999957	
fabricated	1	0.999955	0.999931	
exudes	1	0.999967	0.999952	
eyebrows	1	0.999961	0.999942	
exuberantly	1	0.999962	0.999936	
extreme	1	0.999969	0.999952	
extradite	1	0.999958	0.999936	
extraction	1	0.999955	0.999931	
extra	1	0.999970	0.999958	
extinguished	1	0.999960	0.999931	
extinguishing	1	0.999949	0.999918	
extinguish	1	0.999955	0.999931	
external	1	0.999961	0.999942	
extends	1	0.999969	0.999952	
extension	1	0.999958	0.999936	
extend	1	0.999967	0.999952	
expulsion	1	0.999958	0.999936	
expression	1	0.999955	0.999931	
expresses	1	0.999958	0.999936	
export	1	0.999967	0.999952	
explores	1	0.999961	0.999942	
exposed	1	0.999964	0.999947	
explanatory	1	0.999955	0.999928	
experiencing	1	0.999949	0.999920	
experiences	1	0.999952	0.999925	
explaining	1	0.999955	0.999931	
expensively	1	0.999952	0.999925	
expensive	1	0.999963	0.999941	
expecting	1	0.999958	0.999936	
exner	1	0.999970	0.999958	
existing	1	0.999961	0.999942	
expansion	1	0.999968	0.999946	
exists	1	0.999967	0.999952	
existence	1	0.999968	0.999946	
existed	1	0.999964	0.999947	
exhibitors	1	0.999955	0.999931	
exhibited	1	0.999958	0.999936	
exhibit	1	0.999974	0.999957	
exhaust	1	0.999969	0.999952	
exciting	1	0.999961	0.999942	
exclusive	1	0.999963	0.999941	
excitedly	1	0.999958	0.999936	
exceptions	1	0.999955	0.999931	
excavators	1	0.999955	0.999931	
excavations	1	0.999952	0.999925	
exaggerated	1	0.999952	0.999925	
examples	1	0.999976	0.999957	
exact	1	0.999973	0.999961	
ewe	1	0.999984	0.999977	
evidence	1	0.999961	0.999942	
evans	1	0.999980	0.999968	
eventful	1	0.999961	0.999942	
everybody	1	0.999958	0.999936	
evan	1	0.999988	0.999978	
evacuations	1	0.999962	0.999936	
europa	1	0.999967	0.999952	
eurozone	1	0.999966	0.999947	
estonia	1	0.999974	0.999957	
etc.	1	0.999973	0.999963	
establish	1	0.999958	0.999936	
esser	1	0.999970	0.999958	
essentially	1	0.999967	0.999941	
essener	1	0.999964	0.999947	
essence	1	0.999974	0.999957	
espirito	1	0.999961	0.999942	
espresso	1	0.999961	0.999942	
espionage	1	0.999958	0.999936	
escort	1	0.999967	0.999952	
eradicated	1	0.999964	0.999940	
errors	1	0.999967	0.999952	
era	1	0.999976	0.999969	
erupted	1	0.999964	0.999947	
eschenau	1	0.999971	0.999952	
equipping	1	0.999958	0.999936	
equipped	1	0.999961	0.999942	
equally	1	0.999964	0.999947	
equipment	1	0.999958	0.999936	
eqc	1	0.999976	0.999969	
episode	1	0.999964	0.999947	
entry	1	0.999970	0.999958	
envisaged	1	0.999958	0.999936	
enthusiastic	1	0.999949	0.999920	
entirely	1	0.999961	0.999942	
enthusiasts	1	0.999962	0.999936	
enthusiasm	1	0.999955	0.999931	
enthrall	1	0.999961	0.999942	
entertaining	1	0.999949	0.999920	
entertainingly	1	0.999943	0.999909	
ensure	1	0.999967	0.999952	
enormously	1	0.999955	0.999931	
entertained	1	0.999952	0.999925	
entered	1	0.999964	0.999947	
ensured	1	0.999967	0.999950	
english	1	0.999964	0.999947	
enjoy	1	0.999970	0.999958	
engineer	1	0.999961	0.999942	
england	1	0.999964	0.999947	
engaged	1	0.999964	0.999947	
enforce	1	0.999964	0.999947	
engelke	1	0.999964	0.999947	
engage	1	0.999967	0.999952	
enes	1	0.999973	0.999963	
endures	1	0.999964	0.999947	
ending	1	0.999977	0.999963	
endanger	1	0.999961	0.999942	
encryption	1	0.999955	0.999931	
encouraged	1	0.999960	0.999936	
encore	1	0.999967	0.999952	
emsland	1	0.999964	0.999947	
emsdetten	1	0.999963	0.999941	
emre	1	0.999988	0.999978	
emptying	1	0.999961	0.999942	
en	1	0.999968	0.999968	
employment	1	0.999955	0.999931	
employees	1	0.999958	0.999936	
employee	1	0.999961	0.999942	
emphasis	1	0.999961	0.999942	
emphasize	1	0.999958	0.999936	
emphasizing	1	0.999952	0.999925	
empathy	1	0.999964	0.999947	
emotion	1	0.999964	0.999947	
emlichheim	1	0.999955	0.999931	
emissions	1	0.999958	0.999936	
emergeny	1	0.999961	0.999942	
embolo	1	0.999967	0.999952	
emerged	1	0.999964	0.999947	
embers	1	0.999967	0.999952	
embarassing	1	0.999957	0.999930	
emancipated	1	0.999952	0.999925	
elvedi	1	0.999967	0.999952	
elude	1	0.999970	0.999958	
elsa	1	0.999973	0.999963	
elke	1	0.999973	0.999963	
eleventh	1	0.999961	0.999942	
elite	1	0.999975	0.999963	
elementary	1	0.999955	0.999931	
electromobility	1	0.999950	0.999914	
elegant	1	0.999964	0.999947	
elect	1	0.999970	0.999958	
elected	1	0.999964	0.999947	
elderly	1	0.999979	0.999962	
ein	1	0.999976	0.999969	
eigel	1	0.999982	0.999970	
eilmann	1	0.999964	0.999947	
eggnog	1	0.999967	0.999952	
eggenhaus	1	0.999958	0.999936	
efficient	1	0.999968	0.999946	
effortlessly	1	0.999959	0.999930	
efe	1	0.999976	0.999969	
editors	1	0.999964	0.999947	
edge	1	0.999978	0.999968	
editorial	1	0.999958	0.999936	
edition	1	0.999964	0.999947	
economist	1	0.999963	0.999941	
economy	1	0.999964	0.999947	
economics	1	0.999958	0.999936	
ecologically	1	0.999949	0.999920	
ecclesiastical	1	0.999943	0.999909	
eased	1	0.999970	0.999958	
ease	1	0.999973	0.999963	
echo	1	0.999973	0.999963	
earth	1	0.999980	0.999968	
ears	1	0.999973	0.999963	
earnings	1	0.999966	0.999947	
earning	1	0.999964	0.999947	
earmarked	1	0.999958	0.999936	
ear	1	0.999976	0.999969	
eagerly	1	0.999965	0.999948	
dynasty	1	0.999964	0.999947	
dynamic	1	0.999964	0.999947	
dybala	1	0.999967	0.999952	
dylan	1	0.999970	0.999958	
dying	1	0.999970	0.999958	
durstewitz	1	0.999955	0.999931	
duties	1	0.999967	0.999952	
düsseldorf	1	0.999955	0.999931	
duplicate	1	0.999963	0.999941	
duo	1	0.999976	0.999969	
dug	1	0.999976	0.999969	
dunja	1	0.999970	0.999958	
duisburg	1	0.999961	0.999942	
dudenhöffer	1	0.999962	0.999936	
drummer	1	0.999964	0.999947	
dual	1	0.999973	0.999963	
drunk	1	0.999970	0.999958	
dr.-stammberger	1	0.999940	0.999904	
drops	1	0.999970	0.999958	
drop	1	0.999973	0.999963	
drones	1	0.999978	0.999964	
dribbled	1	0.999961	0.999942	
dressed	1	0.999964	0.999947	
dries	1	0.999970	0.999958	
drewes	1	0.999967	0.999952	
drees	1	0.999975	0.999963	
dreckmann	1	0.999958	0.999936	
dreams	1	0.999967	0.999952	
draught	1	0.999964	0.999947	
dramatic	1	0.999961	0.999942	
drawn	1	0.999970	0.999958	
draft	1	0.999975	0.999963	
drained	1	0.999964	0.999947	
dozens	1	0.999982	0.999968	
downtown	1	0.999961	0.999942	
downswing	1	0.999958	0.999936	
downtime	1	0.999971	0.999952	
downsizing	1	0.999955	0.999931	
doubts	1	0.999967	0.999952	
dorados	1	0.999969	0.999952	
doorstep	1	0.999961	0.999942	
doormen	1	0.999964	0.999947	
donating	1	0.999961	0.999942	
donors	1	0.999982	0.999968	
donate	1	0.999967	0.999952	
domstadt	1	0.999961	0.999942	
dominik	1	0.999964	0.999947	
dominating	1	0.999955	0.999931	
dogan	1	0.999970	0.999958	
dominant	1	0.999961	0.999942	
dodge	1	0.999970	0.999958	
documented	1	0.999955	0.999931	
doctors	1	0.999964	0.999947	
dobson	1	0.999977	0.999963	
divorce	1	0.999964	0.999947	
divinyls	1	0.999961	0.999942	
diversified	1	0.999952	0.999925	
diversely	1	0.999958	0.999936	
districts	1	0.999968	0.999946	
disturbances	1	0.999954	0.999925	
dissolved	1	0.999958	0.999936	
distracted	1	0.999955	0.999931	
dissatisfied	1	0.999949	0.999920	
disruption	1	0.999955	0.999931	
disposed	1	0.999961	0.999942	
dispersing	1	0.999955	0.999931	
disneyland	1	0.999955	0.999931	
disguise	1	0.999967	0.999948	
disgraces	1	0.999958	0.999936	
disembarked	1	0.999952	0.999925	
discusses	1	0.999958	0.999936	
diseases	1	0.999961	0.999942	
discussed	1	0.999963	0.999941	
discrimination	1	0.999943	0.999909	
discovery	1	0.999958	0.999936	
discover	1	0.999961	0.999942	
discounted	1	0.999955	0.999931	
discount	1	0.999976	0.999957	
disarm	1	0.999967	0.999952	
disciplines	1	0.999962	0.999936	
dirk	1	0.999973	0.999963	
disappearance	1	0.999951	0.999920	
directorate	1	0.999952	0.999925	
disappeared	1	0.999952	0.999925	
directions	1	0.999965	0.999941	
dippold	1	0.999964	0.999947	
diplomat	1	0.999961	0.999942	
dimensional	1	0.999952	0.999925	
digitisation	1	0.999959	0.999930	
digging	1	0.999976	0.999959	
dim	1	0.999976	0.999969	
differed	1	0.999961	0.999942	
difficulty	1	0.999955	0.999931	
diets	1	0.999970	0.999958	
diet	1	0.999973	0.999963	
diesels	1	0.999974	0.999957	
dieselgate	1	0.999955	0.999931	
didi	1	0.999973	0.999963	
didavi	1	0.999977	0.999963	
dictatorship	1	0.999949	0.999920	
dice	1	0.999978	0.999968	
diallo	1	0.999967	0.999952	
diameter	1	0.999961	0.999942	
dictated	1	0.999961	0.999942	
dialed	1	0.999967	0.999952	
diagnosed	1	0.999958	0.999936	
diagnosing	1	0.999965	0.999941	
devote	1	0.999967	0.999952	
di	1	0.999979	0.999974	
devils	1	0.999967	0.999952	
developments	1	0.999949	0.999920	
deventer	1	0.999961	0.999942	
developing	1	0.999955	0.999931	
developed	1	0.999958	0.999936	
deutschland	1	0.999952	0.999925	
dethroned	1	0.999967	0.999945	
determine	1	0.999958	0.999936	
determined	1	0.999955	0.999931	
determination	1	0.999946	0.999915	
detection	1	0.999958	0.999936	
detention	1	0.999958	0.999936	
detained	1	0.999961	0.999942	
destruction	1	0.999952	0.999925	
detached	1	0.999961	0.999942	
destroy	1	0.999970	0.999953	
designs	1	0.999964	0.999947	
destinies	1	0.999968	0.999946	
design	1	0.999967	0.999952	
designing	1	0.999958	0.999936	
described	1	0.999958	0.999936	
describe	1	0.999961	0.999942	
descending	1	0.999955	0.999931	
descendant	1	0.999955	0.999931	
derailments	1	0.999952	0.999925	
deputy	1	0.999967	0.999952	
depriving	1	0.999958	0.999936	
deployed	1	0.999961	0.999942	
depotwas	1	0.999961	0.999942	
depend	1	0.999967	0.999952	
depending	1	0.999958	0.999936	
departure	1	0.999963	0.999941	
denuclearization	1	0.999937	0.999898	
departments	1	0.999952	0.999925	
deniz	1	0.999970	0.999958	
dense	1	0.999975	0.999963	
denis	1	0.999970	0.999958	
demonstrator	1	0.999949	0.999920	
demurely	1	0.999971	0.999952	
demonstrates	1	0.999949	0.999920	
demolish	1	0.999961	0.999942	
demolished	1	0.999955	0.999931	
democracy	1	0.999958	0.999936	
demands	1	0.999969	0.999952	
demise	1	0.999967	0.999952	
delivers	1	0.999961	0.999942	
delicatessen	1	0.999949	0.999920	
delicacies	1	0.999955	0.999931	
delaying	1	0.999961	0.999942	
del	1	0.999976	0.999969	
defuse	1	0.999967	0.999952	
deflected	1	0.999958	0.999936	
defenestration	1	0.999943	0.999909	
defenders	1	0.999958	0.999936	
defeats	1	0.999964	0.999947	
defeating	1	0.999958	0.999936	
deeper	1	0.999967	0.999952	
deepen	1	0.999967	0.999952	
dedicated	1	0.999958	0.999936	
dedicate	1	0.999961	0.999942	
decrypto.info	1	0.999946	0.999915	
decorations	1	0.999952	0.999925	
decline	1	0.999964	0.999947	
decimated	1	0.999958	0.999936	
decipher	1	0.999961	0.999942	
decibels	1	0.999961	0.999942	
deciding	1	0.999961	0.999942	
deceased	1	0.999961	0.999942	
debris	1	0.999967	0.999952	
debates	1	0.999964	0.999947	
deathbed	1	0.999961	0.999942	
dearly	1	0.999977	0.999963	
deals	1	0.999976	0.999964	
dealt	1	0.999970	0.999958	
dealers	1	0.999974	0.999957	
deal	1	0.999973	0.999963	
deadline	1	0.999961	0.999942	
dazzling	1	0.999961	0.999942	
daycare	1	0.999964	0.999947	
daubed	1	0.999977	0.999963	
dates	1	0.999985	0.999973	
daria	1	0.999970	0.999958	
dangers	1	0.999964	0.999947	
dancing	1	0.999964	0.999947	
damned	1	0.999967	0.999952	
danced	1	0.999967	0.999952	
dancer	1	0.999967	0.999952	
damaging	1	0.999961	0.999942	
damian	1	0.999967	0.999952	
damages	1	0.999967	0.999950	
dalal	1	0.999970	0.999958	
da	1	0.999984	0.999979	
czech	1	0.999973	0.999961	
cuxhaveners	1	0.999952	0.999925	
cute	1	0.999973	0.999963	
custody	1	0.999974	0.999957	
currywurst	1	0.999965	0.999941	
curl	1	0.999983	0.999973	
curler	1	0.999967	0.999952	
cummings	1	0.999961	0.999942	
curator	1	0.999964	0.999947	
cultural	1	0.999970	0.999951	
cultivation	1	0.999953	0.999926	
culprits	1	0.999961	0.999942	
ct	1	0.999984	0.999979	
crystal	1	0.999969	0.999952	
culatello	1	0.999958	0.999936	
cryptic	1	0.999964	0.999947	
crying	1	0.999967	0.999952	
crumpled	1	0.999961	0.999942	
crucial	1	0.999964	0.999947	
crowning	1	0.999966	0.999947	
crowned	1	0.999964	0.999947	
crossed	1	0.999964	0.999947	
crossroads	1	0.999955	0.999931	
crossbar	1	0.999961	0.999942	
crop	1	0.999973	0.999963	
croatia	1	0.999979	0.999962	
critics	1	0.999964	0.999947	
criticizing	1	0.999952	0.999925	
criticised	1	0.999965	0.999941	
critical	1	0.999961	0.999942	
criteria	1	0.999961	0.999942	
crisp	1	0.999970	0.999958	
creator	1	0.999964	0.999947	
crew	1	0.999973	0.999963	
creators	1	0.999964	0.999945	
crazy	1	0.999970	0.999958	
cream	1	0.999980	0.999968	
crashing	1	0.999964	0.999945	
crappy	1	0.999967	0.999952	
craig	1	0.999975	0.999963	
crank	1	0.999970	0.999958	
craftsmen	1	0.999958	0.999936	
cracks	1	0.999967	0.999952	
cracked	1	0.999964	0.999947	
coveted	1	0.999964	0.999947	
covering	1	0.999961	0.999942	
cover	1	0.999970	0.999958	
coup	1	0.999973	0.999963	
counts	1	0.999977	0.999963	
counterattack	1	0.999955	0.999924	
countless	1	0.999958	0.999936	
counted	1	0.999964	0.999947	
counselors	1	0.999955	0.999931	
costume	1	0.999969	0.999952	
corruption	1	0.999955	0.999931	
corresponding	1	0.999946	0.999915	
corridors	1	0.999963	0.999941	
correctness	1	0.999962	0.999936	
correctly	1	0.999968	0.999946	
corpse	1	0.999982	0.999968	
correct	1	0.999964	0.999947	
corporate	1	0.999963	0.999941	
corners	1	0.999964	0.999947	
coquetting	1	0.999955	0.999931	
coordinated	1	0.999952	0.999925	
copy	1	0.999973	0.999963	
coordination	1	0.999949	0.999920	
cooperative	1	0.999962	0.999936	
cooperates	1	0.999955	0.999931	
convincingly	1	0.999949	0.999920	
coons	1	0.999975	0.999963	
convinced	1	0.999958	0.999936	
convey	1	0.999967	0.999952	
convenience	1	0.999954	0.999927	
controls	1	0.999961	0.999942	
conversion	1	0.999955	0.999931	
controlled	1	0.999955	0.999931	
contributed	1	0.999952	0.999925	
contrary	1	0.999971	0.999952	
contradictory	1	0.999946	0.999915	
contradict	1	0.999955	0.999931	
contentious	1	0.999952	0.999925	
continually	1	0.999952	0.999925	
content	1	0.999964	0.999947	
contained	1	0.999958	0.999936	
contain	1	0.999964	0.999947	
consumption	1	0.999952	0.999925	
consultant	1	0.999955	0.999931	
constructive	1	0.999954	0.999925	
constant	1	0.999961	0.999942	
conspicuous	1	0.999952	0.999925	
considers	1	0.999958	0.999936	
considerable	1	0.999954	0.999925	
conserves	1	0.999958	0.999936	
consider	1	0.999961	0.999942	
consecutively	1	0.999946	0.999915	
connection	1	0.999955	0.999931	
connected	1	0.999963	0.999941	
connect	1	0.999964	0.999947	
conjured	1	0.999966	0.999947	
congress	1	0.999961	0.999942	
congenially	1	0.999952	0.999925	
confusing	1	0.999958	0.999936	
confronted	1	0.999955	0.999931	
confidence	1	0.999955	0.999931	
conferences	1	0.999957	0.999930	
confirms	1	0.999961	0.999942	
confidently	1	0.999952	0.999925	
conditional	1	0.999964	0.999937	
condition	1	0.999964	0.999942	
condemns	1	0.999961	0.999942	
concussion	1	0.999965	0.999941	
concurrent	1	0.999955	0.999931	
concurrently	1	0.999964	0.999935	
concrete	1	0.999961	0.999942	
concretely	1	0.999965	0.999941	
conclusive	1	0.999955	0.999931	
conclusions	1	0.999952	0.999925	
concession	1	0.999955	0.999931	
concentrate	1	0.999952	0.999925	
concept	1	0.999974	0.999957	
concerts	1	0.999961	0.999942	
concede	1	0.999964	0.999947	
comradeship	1	0.999952	0.999925	
conceded	1	0.999961	0.999942	
computing	1	0.999972	0.999950	
comrades	1	0.999961	0.999942	
computers	1	0.999958	0.999936	
computer	1	0.999961	0.999942	
compulsory	1	0.999965	0.999941	
comprehensibly	1	0.999953	0.999919	
composer	1	0.999961	0.999942	
compliments	1	0.999955	0.999928	
complicated	1	0.999952	0.999925	
comply	1	0.999967	0.999952	
complications	1	0.999946	0.999915	
complex	1	0.999964	0.999947	
complaint	1	0.999958	0.999936	
completeness	1	0.999949	0.999920	
complains	1	0.999958	0.999936	
complained	1	0.999955	0.999931	
competitor	1	0.999956	0.999932	
competing	1	0.999958	0.999936	
competed	1	0.999961	0.999942	
compensate	1	0.999955	0.999931	
compatible	1	0.999955	0.999931	
comparison	1	0.999965	0.999941	
companions	1	0.999960	0.999936	
comparable	1	0.999955	0.999931	
communications	1	0.999958	0.999924	
communicating	1	0.999946	0.999915	
commissioned	1	0.999949	0.999920	
commented	1	0.999968	0.999946	
commended	1	0.999958	0.999936	
comment	1	0.999964	0.999947	
commemorative	1	0.999946	0.999915	
comfortably	1	0.999953	0.999926	
command	1	0.999964	0.999947	
comedy	1	0.999967	0.999952	
comedian	1	0.999976	0.999957	
combined	1	0.999961	0.999942	
comeback	1	0.999961	0.999942	
